date	Algérie	Maroc	Tunisie
20210407	119142	525924	281777
20210408	119323	526363	283976
20210409	119486	526651	285490
20210410	119642	526737	287061
20210411	119805	527174	289230
20210412	119992	527696	291833
20210413	120174	528180	294138
20210414	120363	528731	296343
20210415	120562	529224	298572
20210416	120736	529676	300342
20210417	120922	529895	301627
20210418	121112	530585	303584
20210419	121344	531361	305313
20210420	121580	532150	307215
20210421	121866	532994	309119
20210422	122108	533945	310734
20210423	122311	534550	311743
20210424	122522	534797	312747
20210425	122717	535974	314152
20210426	122999	537253	315600
20210427	123272	538589	317010
20210428	123473	539839	318236
20210429	123692	541405	319512
20210430	123900	542462	320813
20210501	124104	543119	321837
20210502	124288	545016	322998
20210503	124483	547273	324103
20210504	124682	549844	324823
20210505	124889	552635	325280
20210506	125059	555488	325832
20210507	125194	557632	326572
20210508	125311	558785	327473
20210509	125485	562416	328528
20210510	125693	566356	329925
20210511	125896	567758	331674
20210512	126156	569668	332833
20210513	126434	575162	334099
20210514	126651	579272	335345
20210515	126860	581477	336414
20210516	127107	588448	337529
20210517	127361	597876	338853
20210518	127646	606871	340250
20210519	127926	615999	341952
20210520	128198	623528	343374
20210521	128456	629717	344688
20210522	128725	633923	345474
20210523	128913	642683	346986
20210524	129218	653286	348911
20210525	129640	665325	350487
20210526	129976	676683	352303
20210527	130361	687292	353782
20210528	130681	696282	355732
20210529	130958	701325	356750
20210530	131283	711103	358183
20210531	131647	720256	360285
20210601	132034	731084	362658
20210602	132355	741836	364819
20210603	132727	752076	367047
20210604	133070	759456	368908
20210605	133388	763353	370224
20210606	133742	772394	372221
20210607	134115	782097	374312
20210608	134458	791559	376691
20210609	134840	799775	378982
20210610	135219	806288	381175
20210611	135586	810949	382950
20210612	135821	813945	385428
20210613	136294	821129	387773
20210614	136679	829137	391411
20210615	137049	836494	395362
20210616	137403	843357	398829
20210617	137772	849532	403493
20210618	138113	853373	407017
20210619	138465	856049	408931
20210620	138840	860948	414182
20210621	139229	866968	420103
20210622	139626	872351	426879
20210623	140075	876732	432761
20210624	140550	881042	438945
20210625	141007	884085	443631
20210626	141471	886008	447161
20210627	141966	889532	455091
20210628	142447	893462	464914
20210629	143032	896913	473229
20210630	143652	899581	481735
20210701	144483	902694	491021
20210702	145296	904647	497613
20210703	146064	905564	501923
20210704	146942	908349	510396
20210705	147883	910991	518609
20210706	148797	913423	526487
20210707	149906	915835	533274
20210708	151103	918126	540798
20210709	152210	919681	546233
20210710	153309	920374	548753
20210711	154486	922222	554911
20210712	155784	923924	555997
20210713	157005	925507	558306
20210714	158213	927127	558306
20210715	159563	928571	563930
